订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8544313530,2015-02-23 01:07:03,311.20,147.60,0.00,0.00,B【单品促销优惠（1248001565）：163.60】,等待确认收货,销售订单,
8544147247,2015-02-22 23:57:25,343.00,105.00,0.00,0.00,A【单品促销优惠（1031808396）：139.00】【单品促销优惠（1038291460）：89.00】【店铺优惠:10.00】,等待出库,销售订单,
8544662432,2015-02-22 20:55:09,297.00,69.00,9.00,0.00,B【单品促销优惠（1096568963）：228.00】,等待确认收货,销售订单,
8543549258,2015-02-22 20:47:19,128.00,65.00,0.00,0.00,B【单品促销优惠（1031268921）：63.00】,等待确认收货,销售订单,
8543368474,2015-02-22 19:52:03,98.00,59.00,0.00,0.00,B【单品促销优惠（1031865939）：39.00】,等待确认收货,销售订单,
8543837409,2015-02-22 17:15:15,230.60,93.60,0.00,0.00,A【单品促销优惠（1248001565）：81.80】【店铺优惠:10.00】【单品促销优惠（1079233794）：19.10】【单品促销优惠（1079224128）：26.10】,等待出库,销售订单,
8542946541,2015-02-22 12:18:40,177.00,66.00,3.00,0.00,B【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8542700137,2015-02-22 10:59:39,343.00,112.00,0.00,0.00,B【单品促销优惠（1031808396）：139.00】【单品促销优惠（1031825822）：92.00】,等待确认收货,销售订单,
8541396474,2015-02-22 09:02:52,515.00,152.20,0.00,0.00,A【单品促销优惠（1096451902）：77.20】【单品促销优惠（1031836841）：7.10】【单品促销优惠（1031865939）：39.00】【单品促销优惠（1181528621）：11.10】【单品促销优惠（1334284628）：80.40】【单品促销优惠（1041750488）：98.00】【店铺优惠:50.00】,等待出库,销售订单,
8541249138,2015-02-22 08:00:31,316.00,89.00,0.00,0.00,A【单品促销优惠（1160129659）：11.00】【单品促销优惠（1031826845）：206.00】【店铺优惠:10.00】,等待确认收货,销售订单,
8542314852,2015-02-22 07:52:08,490.00,149.90,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1096260100）：133.00】【店铺优惠:50.00】【单品促销优惠（1031180370）：79.00】【单品促销优惠（1224847251）：15.10】,等待确认收货,销售订单,
8541213641,2015-02-21 23:34:39,118.00,43.90,0.00,0.00,B【单品促销优惠（1051105098）：50.00】【单品促销优惠（1408491153）：24.10】,等待确认收货,销售订单,
8540112159,2015-02-21 22:43:32,358.00,112.00,0.00,0.00,B【单品促销优惠（1030957237）：246.00】,(删除)锁定,销售订单,
8539369687,2015-02-21 18:35:59,327.00,207.00,0.00,0.00,B【单品促销优惠（1031832162）：120.00】,等待出库,销售订单,
8538265479,2015-02-21 12:17:27,195.00,56.00,0.00,0.00,B【单品促销优惠（1031808396）：139.00】,(删除)锁定,销售订单,
8536556483,2015-02-20 22:59:29,177.00,66.00,0.00,0.00,B【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8537873902,2015-02-20 22:25:57,29.00,9.90,0.00,0.00,B【单品促销优惠（1264909549）：19.10】,(删除)锁定,销售订单,
8536486842,2015-02-20 22:25:32,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8536205642,2015-02-20 20:49:40,195.00,56.00,0.00,0.00,B【单品促销优惠（1031808396）：139.00】,等待确认收货,销售订单,
